ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
12613765 8395469 187 295486 16 10399932 0 0 -71532
16777215 8402676 187 315614 16 10398492 0 0 -71533
16777215 8409236 187 335744 16 10397052 0 0 -71533
16777215 8413004 187 355872 16 10395612 0 0 -71534
16777215 8411999 187 376003 16 10394172 0 0 -71533
16777215 8406423 187 396129 16 10392732 0 0 -71534
16777215 8399719 187 416257 16 10391292 0 0 -71534
15995828 8393328 187 436386 16 10389853 0 0 -71530
11825153 8390819 187 456514 16 10388413 0 0 -71535
11483019 8393325 187 476644 16 10386973 0 0 -71534
14877395 8398689 187 496773 16 10385533 0 0 -71535
16777215 8406160 187 516900 16 10384093 0 0 -71535
16777215 8411646 187 537034 16 10382653 0 0 -71534
16777215 8413131 187 557159 16 10381213 0 0 -71534
16777215 8409742 187 577290 16 10379773 0 0 -71535
16777215 8402841 187 597419 16 10378334 0 0 -71529
16777215 8395847 187 617547 16 10376894 0 0 -71529
13497940 8391504 187 637675 16 10375454 0 0 -71534
11031422 8391333 187 657805 16 10374014 0 0 -71533
12659104 8395778 187 677933 16 10372574 0 0 -71534
16777215 8401979 187 698063 16 10371134 0 0 -71534
16777215 8409137 187 718192 16 10369694 0 0 -71533
16777215 8412838 187 738320 16 10368254 0 0 -71535
16777215 8412572 187 758450 16 10366814 0 0 -71533
16777215 8408110 187 778580 16 10365375 0 0 -71529
16777215 8402036 187 798708 16 10363935 0 0 -71534
16777215 8395191 187 818838 16 10362495 0 0 -71533
13007746 8391211 187 838966 16 10361055 0 0 -71533
10997381 8391443 187 859096 16 10359615 0 0 -71533
13096243 8396623 187 879224 16 10358175 0 0 -71533
16777215 8403346 187 899352 16 10356735 0 0 -71534
16777215 8410147 187 919483 16 10355295 0 0 -71533
16777215 8413213 187 939611 16 10353855 0 0 -71533
16777215 8411573 187 959739 16 10352415 0 0 -71534
16777215 8406186 187 979871 16 10350976 0 0 -71533
16777215 8398102 188 2 16 10349536 0 0 -71532
14841129 8392383 188 20128 16 10348096 0 0 -71534
11461830 8391063 188 40259 16 10346656 0 0 -71533
11992383 8394578 188 60387 16 10345216 0 0 -71533
16562117 8401445 188 80517 16 10343776 0 0 -71533
16777215 8408016 188 100645 16 10342336 0 0 -71533
16777215 8412676 188 120774 16 10340896 0 0 -71533
16777215 8412602 188 140902 16 10339456 0 0 -71533
16777215 8408263 188 161034 16 10338016 0 0 -71532
16777215 8401477 188 181161 16 10336577 0 0 -71534
16777215 8395113 188 201289 16 10335137 0 0 -71535
12749319 8391047 188 221417 16 10333697 0 0 -71534
11077874 8391766 188 241547 16 10332257 0 0 -71534
13219269 8396672 188 261675 16 10330817 0 0 -71534
16777215 8403312 188 281803 16 10329377 0 0 -71535
16777215 8408839 188 301934 16 10327937 0 0 -71534
16777215 8412757 188 322061 16 10326498 0 0 -71530
16777215 8412412 188 342192 16 10325058 0 0 -71529
16777215 8407942 188 362320 16 10323618 0 0 -71530
16777215 8400666 188 382448 16 10322178 0 0 -71534
16663934 8393956 188 402578 16 10320738 0 0 -71534
12105283 8390877 188 422708 16 10319298 0 0 -71533
11161012 8392328 188 442835 16 10317858 0 0 -71534
14115797 8398013 188 462966 16 10316418 0 0 -71533
16777215 8404777 188 483093 16 10314978 0 0 -71534
16777215 8410216 188 503222 16 10313538 0 0 -71534
16777215 8413138 188 523352 16 10312099 0 0 -71533
16777215 8411995 188 543480 16 10310659 0 0 -71534
16777215 8406778 188 563609 16 10309219 0 0 -71534
16777215 8399766 188 583739 16 10307779 0 0 -71533
16777215 8394360 188 603869 16 10306339 0 0 -71533
12326807 8390913 188 623997 16 10304899 0 0 -71534
11063528 8392043 188 644126 16 10303459 0 0 -71533
13598451 8397066 188 664254 16 10302019 0 0 -71534
16777215 8403865 188 684384 16 10300579 0 0 -71533
16777215 8410414 188 704513 16 10299140 0 0 -71528
16777215 8413122 188 724641 16 10297699 0 0 -71539
16777215 8412127 188 744772 16 10296260 0 0 -71533
16777215 8406453 188 764900 16 10294820 0 0 -71533
